,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
631,BGR,1976,8758599.0,,
632,BGR,1975,8720742.0,,
633,BGR,1974,8678745.0,,
634,BGR,1973,8620967.0,,
635,BGR,1972,8576200.0,,
636,BGR,1971,8536395.0,,
637,BGR,1970,8489574.0,,
638,BGR,1969,8434172.0,,
639,BGR,1968,8369603.0,,
640,BGR,1967,8310226.0,,
641,BGR,1966,8258057.0,,
642,BGR,1965,8204168.0,,
643,BGR,1964,8144340.0,,
644,BGR,1963,8078145.0,,
645,BGR,1962,8012946.0,,
646,BGR,1961,7943118.0,,
647,BGR,1960,7867374.0,,
648,BGR,2024,,,2.44651943006079
649,ISR,2023,9756600.0,52642.4267486308,4.22535211267609
650,ISR,2022,9557500.0,54930.7261602593,4.39359665912654
651,ISR,2021,9371400.0,52255.6159050999,1.51020047690539
652,ISR,2020,9215100.0,44679.7715799755,-0.61441235846577
653,ISR,2019,9054000.0,44140.8289372511,0.84978312826417
654,ISR,2018,8882800.0,42233.2610344935,0.794075660242718
655,ISR,2017,8713300.0,40997.9110240274,0.25941497450575
656,ISR,2016,8546000.0,37556.6272863143,-0.551552352993558
657,ISR,2015,8380100.0,36123.9907881129,-0.601291007162392
658,ISR,2014,8215700.0,38230.4954049785,0.479786761439324
659,ISR,2013,8059500.0,36929.6042163752,1.5702553921126
660,ISR,2012,7910500.0,33236.5731239421,1.67920719398061
661,ISR,2011,7765800.0,34433.822610733,3.48494919760703
662,ISR,2010,7623600.0,31338.5568903917,2.69137006338376
663,ISR,2009,7485600.0,28381.6449423376,3.35617818988106
664,ISR,2008,7308800.0,30176.2865128483,4.55216016859853
665,ISR,2007,7180100.0,25635.926838502,0.455170953741894
666,ISR,2006,7053700.0,22502.0722209991,2.06352636127917
667,ISR,2005,6930100.0,21226.7213913393,1.31348511383542
668,ISR,2004,6809000.0,20546.2291718399,-0.381637771235433
669,ISR,2003,6689700.0,19629.4145135202,0.70275612166467
670,ISR,2002,6570000.0,19034.3175740071,5.77235772357722
671,ISR,2001,6439000.0,20907.1143041538,1.1513157894737
672,ISR,2000,6289000.0,21660.840378309,1.03264094955491
673,ISR,1999,6125000.0,19782.2869743593,5.18102372034954
674,ISR,1998,5971000.0,20157.0966336239,5.49190043461083
675,ISR,1997,5836000.0,20432.8376406454,8.96957520091852
676,ISR,1996,5692000.0,20180.3770456889,11.4166933162775
677,ISR,1995,5545000.0,18991.4711694457,9.93144665143266
678,ISR,1994,5399000.0,16776.6124890797,12.2755081902506
679,ISR,1993,5261000.0,15151.5446328935,10.9238178633975
680,ISR,1992,5123000.0,15482.1005731603,12.0156939676313
681,ISR,1991,4949000.0,14320.2831935277,19.1352614665498
682,ISR,1990,4660000.0,13284.3794576924,17.1858952413557
683,ISR,1989,4518000.0,11586.8023266158,20.3543469303667
684,ISR,1988,4442000.0,11831.6680266533,16.4028776978417
685,ISR,1987,4369000.0,9835.69004057827,19.0748143917761
686,ISR,1986,4299000.0,8320.4734890676,47.8885135135135
687,ISR,1985,4233000.0,6816.3848781637,309.931699181469
688,ISR,1984,4159000.0,7355.25317040048,373.215653131363
689,ISR,1983,4105000.0,7945.67500522195,145.951539223485
690,ISR,1982,4031000.0,7244.51893752661,120.364351369544
691,ISR,1981,3956000.0,6783.03336109356,116.800034437445
692,ISR,1980,3878000.0,6536.74795007038,131.024995515683
693,ISR,1979,3786000.0,5961.20969710617,78.310035593149
694,ISR,1978,3690000.0,4788.32792496606,50.5509246487277
